i	21168	30.853
and	20691	30.158
to	15471	22.55
a	14198	20.694
the	11273	16.431
im	9991	14.562
you	7904	11.52
in	7557	11.015
my	7483	10.907
me	7142	10.41
love	7046	10.27
of	6675	9.729
for	5862	8.544
is	5712	8.325
like	4888	7.124
if	4051	5.904
not	4024	5.865
with	3733	5.441
be	3448	5.026
just	3443	5.018
dont	3344	4.874
have	3312	4.827
at	3136	4.571
on	3117	4.543
new	3051	4.447
life	2896	4.221
but	2862	4.171
it	2845	4.147
music	2834	4.131
:	2786	4.061
that	2599	3.788
18	2570	3.746
instagram:	2379	3.467
looking	2282	3.326
your	2265	3.301
so	2213	3.226
people	2213	3.226
ig:	2212	3.224
university	2126	3.099
girl	2124	3.096
good	2123	3.094
are	2115	3.083
am	2096	3.055
know	2087	3.042
all	1996	2.909
college	1869	2.724
from	1844	2.688
major	1812	2.641
can	1793	2.613
student	1721	2.508
out	1682	2.452
friends	1678	2.446
up	1664	2.425
or	1640	2.39
who	1629	2.374
do	1607	2.342
time	1605	2.339
get	1598	2.329
what	1570	2.288
about	1569	2.287
17	1551	2.261
this	1522	2.218
nyc	1487	2.167
fun	1482	2.16
as	1431	2.086
want	1416	2.064
no	1364	1.988
go	1351	1.969
make	1349	1.966
an	1313	1.914
insta:	1261	1.838
we	1257	1.832
things	1249	1.82
its	1196	1.743
3	1188	1.732
live	1182	1.723
instagram	1177	1.716
here	1161	1.692
one	1104	1.609
will	1079	1.573
really	1067	1.555
more	1063	1.549
always	1046	1.525
youre	1010	1.472
laugh	997	1.453
food	988	1.44
also	988	1.44
lover	979	1.427
living	951	1.386
ny	942	1.373
going	938	1.367
right	922	1.344
long	912	1.329
world	900	1.312
16	892	1.3
message	884	1.288
talk	873	1.272
swipe	867	1.264
some	862	1.256
york	851	1.24
too	827	1.205
country	805	1.173
when	800	1.166
someone	798	1.163
than	796	1.16
jersey	792	1.154
meet	789	1.15
snapchat:	786	1.146
art	783	1.141
tattoos	782	1.14
u	778	1.134
anything	776	1.131
only	770	1.122
person	757	1.103
say	754	1.099
travel	741	1.08
ask	737	1.074
being	735	1.071
lets	733	1.068
born	730	1.064
play	714	1.041
actually	711	1.036
never	702	1.023
school	697	1.016
family	694	1.012
coffee	691	1.007
take	689	1.004
work	688	1.003
movies	687	1.001
pretty	680	0.991
how	675	0.984
19	675	0.984
enjoy	674	0.982
ig	670	0.977
hi	663	0.966
old	662	0.965
very	654	0.953
down	654	0.953
much	653	0.952
sports	643	0.937
ill	633	0.923
thats	626	0.912
raised	624	0.91
by	615	0.896
best	606	0.883
day	606	0.883
heart	596	0.869
first	595	0.867
something	591	0.861
enthusiast	589	0.858
probably	588	0.857
into	586	0.854
everything	585	0.853
name	582	0.848
hockey	582	0.848
nj	582	0.848
island	574	0.837
15	573	0.835
was	573	0.835
see	573	0.835
state	571	0.832
20	570	0.831
little	567	0.826
back	565	0.824
years	556	0.81
dance	553	0.806
traveling	551	0.803
cant	549	0.8
dogs	548	0.799
find	545	0.794
then	542	0.79
tinder	540	0.787
way	536	0.781
because	535	0.78
netflix	533	0.777
studying	530	0.772
beach	529	0.771
most	528	0.77
insta	526	0.767
trying	523	0.762
lot	519	0.756
well	515	0.751
beer	509	0.742
there	503	0.733
left	502	0.732
thing	502	0.732
big	502	0.732
think	501	0.73
hey	497	0.724
fan	496	0.723
now	489	0.713
wanna	487	0.71
dog	484	0.705
adventure	484	0.705
snapchat	477	0.695
would	471	0.686
outdoors	469	0.684
twitter:	468	0.682
class	465	0.678
future	464	0.676
need	463	0.675
21	462	0.673
nice	460	0.67
follow	460	0.67
loves	457	0.666
they	452	0.659
funny	452	0.659
lol	451	0.657
year	449	0.654
tall	446	0.65
city	443	0.646
2018	439	0.64
happy	439	0.64
cool	436	0.635
real	435	0.634
free	429	0.625
books	423	0.617
guys	423	0.617
adventures	423	0.617
hair	422	0.615
got	421	0.614
hard	413	0.602
tell	412	0.601
please	410	0.598
suny	408	0.595
games	408	0.595
favorite	406	0.592
even	406	0.592
animals	404	0.589
working	398	0.58
around	396	0.577
currently	396	0.577
reading	394	0.574
fashion	393	0.573
ive	390	0.568
why	388	0.566
cats	388	0.566
great	388	0.566
shy	387	0.564
pizza	387	0.564
short	383	0.558
wine	382	0.557
soccer	381	0.555
myself	375	0.547
any	371	0.541
science	368	0.536
better	366	0.533
them	364	0.531
keep	363	0.529
nursing	362	0.528
oh	361	0.526
try	359	0.523
call	359	0.523
kind	354	0.516
2017	354	0.516
where	351	0.512
other	351	0.512
artist	351	0.512
brooklyn	348	0.507
dancer	348	0.507
having	347	0.506
let	341	0.497
sometimes	341	0.497
hate	336	0.49
watch	336	0.49
feel	334	0.487
wont	330	0.481
italian	329	0.48
else	327	0.477
every	325	0.474
yes	323	0.471
over	322	0.469
video	319	0.465
party	318	0.463
meeting	318	0.463
ever	314	0.458
making	314	0.458
watching	314	0.458
her	313	0.456
man	312	0.455
dancing	312	0.455
conversation	308	0.449
could	307	0.447
2016	306	0.446
22	305	0.445
read	303	0.442
nyu	302	0.44
photography	299	0.436
believe	299	0.436
look	299	0.436
been	298	0.434
youll	298	0.434
sing	297	0.433
2	294	0.429
weird	294	0.429
come	294	0.429
shit	293	0.427
smile	292	0.426
senior	290	0.423
rutgers	289	0.421
night	289	0.421
animal	289	0.421
hiking	286	0.417
bad	284	0.414
own	284	0.414
fuck	283	0.412
open	283	0.412
drink	282	0.411
give	281	0.41
grad	280	0.408
chill	280	0.408
change	279	0.407
guy	279	0.407
should	277	0.404
crazy	274	0.399
mind	273	0.398
still	273	0.398
rock	272	0.396
were	271	0.395
nothing	269	0.392
off	269	0.392
english	269	0.392
outgoing	268	0.391
has	267	0.389
twitter	267	0.389
those	266	0.388
playing	264	0.385
nerd	264	0.385
doing	264	0.385
our	264	0.385
earth	264	0.385
business	263	0.383
single	262	0.382
girls	262	0.382
moved	260	0.379
sarcastic	259	0.378
full	259	0.378
loving	257	0.375
hook	257	0.375
may	256	0.373
eat	256	0.373
2015	255	0.372
us	253	0.369
psychology	252	0.367
psu	251	0.366
la	251	0.366
education	250	0.364
aspiring	250	0.364
friend	249	0.363
many	249	0.363
she	249	0.363
two	249	0.363
writing	248	0.361
god	246	0.359
write	246	0.359
everyone	244	0.356
beautiful	244	0.356
home	243	0.354
yourself	241	0.351
volleyball	241	0.351
nature	240	0.35
getting	239	0.348
easy	237	0.345
theatre	236	0.344
football	235	0.343
met	234	0.341
stuff	233	0.34
bit	233	0.34
laughing	232	0.338
walks	231	0.337
writer	231	0.337
design	231	0.337
boys	229	0.334
interested	228	0.332
once	228	0.332
game	225	0.328
smoke	225	0.328
care	224	0.326
teacher	223	0.325
book	222	0.324
anyone	221	0.322
hang	221	0.322
times	221	0.322
makes	220	0.321
vibes	220	0.321
young	220	0.321
friendly	220	0.321
player	218	0.318
high	217	0.316
hit	217	0.316
made	215	0.313
gym	215	0.313
small	214	0.312
eyes	213	0.31
singer	212	0.309
basketball	212	0.309
sense	212	0.309
humor	211	0.308
fitness	210	0.306
through	209	0.305
cat	209	0.305
id	209	0.305
sweet	207	0.302
singing	206	0.3
tv	206	0.3
native	206	0.3
theres	205	0.299
film	205	0.299
sorry	204	0.297
forever	203	0.296
super	200	0.292
jokes	200	0.292
doesnt	199	0.29
mean	198	0.289
maybe	198	0.289
sarcasm	198	0.289
dream	197	0.287
passion	196	0.286
concerts	196	0.286
cooking	196	0.286
while	195	0.284
relationship	195	0.284
huge	194	0.283
learn	194	0.283
sure	194	0.283
running	193	0.281
french	193	0.281
without	193	0.281
american	193	0.281
yoga	192	0.28
pictures	191	0.278
hmu	191	0.278
social	190	0.277
awesome	190	0.277
5	189	0.275
59	189	0.275
tea	188	0.274
whats	188	0.274
penn	188	0.274
app	188	0.274
engineering	187	0.273
part	187	0.273
serious	187	0.273
eating	186	0.271
fall	186	0.271
cute	185	0.27
queens	185	0.27
14	185	0.27
baby	184	0.268
put	184	0.268
hope	183	0.267
piercings	182	0.265
show	182	0.265
interesting	181	0.264
along	181	0.264
before	180	0.262
ud	180	0.262
must	179	0.261
awkward	179	0.261
cook	177	0.258
biology	177	0.258
pick	175	0.255
binghamton	175	0.255
might	174	0.254
woman	174	0.254
cause	173	0.252
buffalo	173	0.252
whiskey	173	0.252
n	173	0.252
history	173	0.252
sex	173	0.252
half	173	0.252
kinda	172	0.251
adventurous	172	0.251
obsessed	171	0.249
junior	171	0.249
their	171	0.249
de	171	0.249
seriously	170	0.248
movie	170	0.248
send	170	0.248
south	169	0.246
red	169	0.246
outside	169	0.246
rugby	169	0.246
chat	169	0.246
23	168	0.245
until	168	0.245
taking	168	0.245
addict	168	0.245
24	167	0.243
men	167	0.243
hookup	167	0.243
speak	166	0.242
simple	166	0.242
arts	166	0.242
lines	165	0.24
edm	165	0.24
face	164	0.239
listen	164	0.239
type	164	0.239
snowboarding	164	0.239
stay	163	0.238
likes	163	0.238
away	163	0.238
proud	163	0.238
hello	163	0.238
photographer	163	0.238
510	162	0.236
enough	161	0.235
ru	161	0.235
hookups	160	0.233
dreams	159	0.232
white	159	0.232
black	159	0.232
important	158	0.23
ct	158	0.23
different	158	0.23
chipotle	158	0.23
softball	158	0.23
mom	158	0.23
hot	157	0.229
last	157	0.229
420	157	0.229
fishing	157	0.229
hanging	156	0.227
add	156	0.227
happens	156	0.227
same	156	0.227
58	156	0.227
rather	156	0.227
days	155	0.226
spanish	155	0.226
toronto	155	0.226
kids	154	0.224
52	154	0.224
blue	154	0.224
few	154	0.224
traveler	153	0.223
line	153	0.223
bitch	153	0.223
bio	152	0.222
become	152	0.222
next	152	0.222
e	152	0.222
graduate	151	0.22
guess	151	0.22
soul	150	0.219
start	148	0.216
had	148	0.216
side	148	0.216
isnt	147	0.214
boston	147	0.214
gonna	146	0.213
shows	146	0.213
originally	146	0.213
stop	146	0.213
uconn	145	0.211
horror	145	0.211
que	145	0.211
professional	145	0.211
learning	144	0.21
guitar	144	0.21
random	144	0.21
bother	144	0.21
honest	143	0.208
reason	143	0.208
disney	143	0.208
minor	143	0.208
which	143	0.208
musician	143	0.208
health	143	0.208
talking	142	0.207
says	141	0.206
already	141	0.206
cars	140	0.204
puerto	140	0.204
100	140	0.204
rican	140	0.204
studies	140	0.204
these	140	0.204
florida	139	0.203
age	139	0.203
match	139	0.203
4	139	0.203
chocolate	139	0.203
place	139	0.203
puppies	139	0.203
ass	139	0.203
avid	139	0.203
beards	138	0.201
picture	138	0.201
sophomore	138	0.201
whatever	138	0.201
california	138	0.201
